id,name,movie_id
28.0,Action,1656
12.0,Adventure,1656
27.0,Horror,215
35.0,Comedy,10915
37.0,Western,10915
35.0,Comedy,8274
28.0,Action,26845
12.0,Adventure,26845
18.0,Drama,18994
12.0,Adventure,18994
28.0,Action,18994
35.0,Comedy,259
18.0,Drama,259
10749.0,Romance,259
18.0,Drama,25
10752.0,War,25
27.0,Horror,23220
27.0,Horror,9885
53.0,Thriller,9885
12.0,Adventure,9392
27.0,Horror,9392
12.0,Adventure,674
14.0,Fantasy,674
10751.0,Family,674
27.0,Horror,3124
878.0,Science Fiction,3124
12.0,Adventure,411
10751.0,Family,411
14.0,Fantasy,411
36.0,History,43118
18.0,Drama,43118
35.0,Comedy,9641
27.0,Horror,9568
53.0,Thriller,9568
28.0,Action,6935
80.0,Crime,6935
18.0,Drama,6935
18.0,Drama,4550
53.0,Thriller,4550
28.0,Action,10045
53.0,Thriller,10045
878.0,Science Fiction,10045
28.0,Action,168705
12.0,Adventure,168705
14.0,Fantasy,168705
27.0,Horror,168705
27.0,Horror,1690
16.0,Animation,10982
35.0,Comedy,10982
10751.0,Family,10982
14.0,Fantasy,834
28.0,Action,834
878.0,Science Fiction,834
53.0,Thriller,834
27.0,Horror,11246
53.0,Thriller,11246
9648.0,Mystery,11246
28.0,Action,52728
12.0,Adventure,52728
27.0,Horror,52728
878.0,Science Fiction,52728
53.0,Thriller,7295
9648.0,Mystery,7295
18.0,Drama,7295
18.0,Drama,7509
10769.0,Foreign,7509
10749.0,Romance,7509
35.0,Comedy,11183
14.0,Fantasy,11283
35.0,Comedy,11283
10751.0,Family,11283
27.0,Horror,9286
9648.0,Mystery,9286
28.0,Action,12096
35.0,Comedy,12096
80.0,Crime,12096
9648.0,Mystery,12096
10751.0,Family,12096
12.0,Adventure,9975
16.0,Animation,9975
35.0,Comedy,9975
10751.0,Family,9975
27.0,Horror,9682
53.0,Thriller,9682
28.0,Action,14609
16.0,Animation,14609
12.0,Adventure,14609
878.0,Science Fiction,14609
16.0,Animation,950
10751.0,Family,950
35.0,Comedy,950
12.0,Adventure,950
35.0,Comedy,18009
27.0,Horror,18009
35.0,Comedy,19286
14.0,Fantasy,19286
27.0,Horror,19286
35.0,Comedy,19287
14.0,Fantasy,19287
27.0,Horror,19287
878.0,Science Fiction,19287
27.0,Horror,18011
27.0,Horror,9792
53.0,Thriller,9792
35.0,Comedy,11573
80.0,Crime,11573
35.0,Comedy,46828
27.0,Horror,10292
53.0,Thriller,10292
80.0,Crime,3093
9648.0,Mystery,3093
53.0,Thriller,3093
35.0,Comedy,4257
27.0,Horror,588
9648.0,Mystery,588
28.0,Action,8982
80.0,Crime,8982
18.0,Drama,8982
53.0,Thriller,8982
12.0,Adventure,956
28.0,Action,956
53.0,Thriller,956
53.0,Thriller,591
9648.0,Mystery,591
12.0,Adventure,36668
28.0,Action,36668
878.0,Science Fiction,36668
53.0,Thriller,36668
16.0,Animation,920
12.0,Adventure,920
35.0,Comedy,920
10751.0,Family,920
12.0,Adventure,58
14.0,Fantasy,58
28.0,Action,58
35.0,Comedy,2295
27.0,Horror,8997
28.0,Action,8997
53.0,Thriller,8997
878.0,Science Fiction,8997
35.0,Comedy,10947
18.0,Drama,10947
10751.0,Family,10947
10402.0,Music,10947
10770.0,TV Movie,10947
28.0,Action,9615
80.0,Crime,9615
18.0,Drama,9615
53.0,Thriller,9615
16.0,Animation,9513
35.0,Comedy,9513
10751.0,Family,9513
