name,id,movie_id
Government of West Bengal,1984.0,5801
Satyajit Ray Productions,26424.0,896
Filmstudio,46654.0,8072
Athos Films,54659.0,8072
Chaumiane,63558.0,8072
Canal Plus,104.0,11687
Gaumont International,7961.0,11687
France 3 Cinema,16804.0,11687
Bandai Visual Company,528.0,9323
Kodansha,6999.0,9323
Production I.G.,12657.0,9323
Aardman Animations,297.0,532
Live Entertainment,285.0,10547
Steelwork Films,12450.0,10547
Mediaworks,12451.0,10547
Miramax Films,14.0,627
Channel Four Films,181.0,627
Noel Gay Motion Picture Company,358.0,627
Figment Films,359.0,627
Film4,9349.0,627
Twentieth Century Fox Film Corporation,306.0,602
Centropolis Entertainment,347.0,602
Walt Disney Pictures,2.0,10545
Imagine Entertainment,23.0,9327
Universal Pictures,33.0,9327
Miramax Films,14.0,10546
Universal Pictures,33.0,9431
Tales From The Crypt Holdings,69626.0,9431
Universal City Studios,69627.0,9431
Paramount Pictures,4.0,10061
Rysher Entertainment,11661.0,10061
Paramount Pictures,4.0,238
Alfran Productions,10211.0,238
Golden Harvest Company,2521.0,11134
Golden Way Films Ltd.,3054.0,11134
Golden Harvest Company,2521.0,38955
Universal Cartoon Studios,4285.0,19004
Miramax Films,14.0,10987
Stanley Kubrick Productions,385.0,62
Metro-Goldwyn-Mayer (MGM),8411.0,62
Metro-Goldwyn-Mayer (MGM),8411.0,3529
Laurel Group,638.0,10331
Off Color Films,3139.0,10331
Image Ten,14121.0,10331
Market Square Productions,14122.0,10331
Walt Disney,5888.0,10680
Walt Disney Productions,3166.0,14821
Walt Disney Productions,3166.0,14136
Walt Disney Pictures,2.0,10869
RKO Radio Pictures,6.0,11224
Walt Disney Productions,3166.0,11224
Walt Disney Productions,3166.0,10948
The Kushner-Locke Company,2499.0,11229
August Entertainment,3322.0,11229
Multicom entertainment,30702.0,11229
Twentieth Century Fox Film Corporation,306.0,562
Gordon Company,1073.0,562
Silver Pictures,1885.0,562
New Line Cinema,12.0,10163
Allied Vision,5570.0,10163
Walt Disney Television Animation,3475.0,11238
Great American Films Limited Partnership,137.0,88
Vestron Pictures,12360.0,88
TriStar Pictures,559.0,402
Canal+,5358.0,402
Carolco Pictures,14723.0,402
Dimension Films,7405.0,25750
United Artists,60.0,11843
Jewel Productions,10257.0,11843
Pimlico Films,10258.0,11843
Incorporated Television Company (ITC),15980.0,11843
AVCO Embassy Pictures,494.0,1103
Goldcrest Films International,500.0,1103
International Film Investors,502.0,1103
City Film,664.0,1103
AVCO Embassy Pictures,494.0,11298
International Film Investors,502.0,11298
Wescom Productions,10312.0,11298
Aardman Animations,297.0,531
Paramount Pictures,4.0,11455
Lucasfilm,1.0,1891
Twentieth Century Fox Film Corporation,306.0,1891
Lucasfilm,1.0,85
Paramount Pictures,4.0,85
Twentieth Century Fox Film Corporation,306.0,679
SLM Production Group,396.0,679
Brandywine Productions,19747.0,679
United Artists,60.0,429
Constantin Film Produktion,5755.0,429
Produzioni Europee Associati (PEA),7508.0,429
Arturo González Producciones Cinematográficas S.A.,42498.0,429
Lucasfilm,1.0,1892
Twentieth Century Fox Film Corporation,306.0,1892
Twentieth Century Fox Film Corporation,306.0,348
Brandywine Productions,19747.0,348
Universal Pictures,33.0,766
Renaissance Pictures,467.0,766
Metro-Goldwyn-Mayer (MGM),8411.0,766
Dino De Laurentiis Company,10308.0,766
Paramount Pictures,4.0,539
Universal Pictures,33.0,539
Shamley Productions,10717.0,539
Universal Pictures,33.0,525
Paramount Pictures,4.0,240
The Coppola Company,536.0,240
Aardman Animations,297.0,530
Orion Pictures,41.0,218
Pacific Western,1280.0,218
Hemdale Film,3952.0,218
Cinema 84,4764.0,218
Euro Film Funding,7745.0,218
Paramount Pictures,4.0,829
Penthouse,6226.0,829
Long Road Productions,10208.0,829
Renaissance Films,3102.0,765
Rosebud Productions,47380.0,765
Universal Pictures,33.0,105
Amblin Entertainment,56.0,105
U-Drive Productions,20448.0,105
Davis-Panzer Productions,2737.0,8009
Thorn EMI Screen Entertainment,6179.0,8009
Walt Disney Pictures,2.0,756
IRE Productions,16644.0,11314
Santa Fe Institute for Regional Education,16645.0,11314
Lucasfilm,1.0,89
Paramount Pictures,4.0,89
Twentieth Century Fox Film Corporation,306.0,8077
Brandywine Productions,19747.0,8077
Steve White Productions,35872.0,41671
VPS Studios,84937.0,41671
De Laurentiis Entertainment Group (DEG),484.0,27214
Zeta Entertainment,5333.0,52263
Promark Entertainment Group,25690.0,52263
Spectacor Films,28277.0,52263
A. Ninety-Three Productions,36394.0,33519
Dino De Laurentiis Company,10308.0,16235
Media Transactions,75480.0,16235
American International Pictures (AIP),9266.0,11449
Allegro Films,4899.0,41848
CFCF-TV,17799.0,41848
Universal Pictures,33.0,229
Propaganda Films,278.0,9529
TriStar Pictures,559.0,9529
PolyGram Filmed Entertainment,1382.0,9529
United Artists,60.0,7340
New Line Cinema,12.0,377
Smart Egg Pictures,1531.0,377
Twentieth Century Fox Film Corporation,306.0,794
Mace Neufeld Productions,2767.0,794
Trust Film,123.0,145
Danish Film Institute,125.0,145
Paramount Pictures,4.0,199
Digital Image Associates,76068.0,199
Twentieth Century Fox Film Corporation,306.0,9279
1492 Pictures,436.0,9279
Walt Disney Pictures,2.0,11674
Great Oaks Entertainment,2173.0,11674
Twentieth Century Fox Film Corporation,306.0,1573
Gordon Company,1073.0,1573
Silver Pictures,1885.0,1573
Paramount Pictures,4.0,152
Paramount Pictures,4.0,174
Paramount Pictures,4.0,172
Paramount Pictures,4.0,154
Paramount Pictures,4.0,157
Paramount Pictures,4.0,168
PolyGram Filmed Entertainment,1382.0,364
Warner Bros.,6194.0,364
Twentieth Century Fox Film Corporation,306.0,11967
Morgan Creek Productions,10210.0,11967
Morgan Creek Productions,10210.0,9086
Paramount Pictures,4.0,621
Robert Stigwood Organization (RSO),3978.0,621
Paramount Pictures,4.0,9037
Regency Enterprises,508.0,8845
Alcor Films,644.0,8845
Canal+,5358.0,8845
Warner Bros.,6194.0,8845
Universal Pictures,33.0,578
Zanuck/Brown Productions,1865.0,578
Universal Pictures,33.0,579
Universal Pictures,33.0,17692
Alan Landsburg Productions,4904.0,17692
MCA  Theatricals,79415.0,17692
Woods Entertainment,979.0,4232
Dimension Films,7405.0,4232
Metro-Goldwyn-Mayer (MGM),8411.0,34314
Rysher Entertainment,11661.0,34314
Golden Harvest Company,2521.0,9404
Twentieth Century Fox Film Corporation,306.0,6499
Saban Entertainment,2106.0,6499
Toei Company,9255.0,6499
Columbia Pictures Corporation,441.0,9360
Middle Fork Productions,3803.0,9360
Iguana Producciones,11134.0,9360
Skylight Cinema Foto Art,16387.0,9360
St. Tropez Films,55532.0,9360
Cinema Line Film Corporation,55533.0,9360
New Line Cinema,12.0,816
Capella International,594.0,816
Eric's Boy,595.0,816
Desperate Pictures,1474.0,1811
UGC Images,1475.0,1811
Universal Pictures,33.0,330
Amblin Entertainment,56.0,330
Twentieth Century Fox Film Corporation,306.0,1639
Blue Tulip Productions,35304.0,1639
PolyGram Filmed Entertainment,1382.0,415
Warner Bros.,6194.0,415
Amblin Entertainment,56.0,607
Columbia Pictures Corporation,441.0,607
Parkes+MacDonald Image Nation,49325.0,607
Universal Pictures,33.0,9387
Dino De Laurentiis Company,10308.0,9387
Walt Disney Pictures,2.0,20737
Regency Enterprises,508.0,18519
Donner/Shuler-Donner Productions,5739.0,18519
Warner Bros.,6194.0,18519
Miramax Films,14.0,4961
Dimension Films,7405.0,4961
Paramount Pictures,4.0,1669
Nina Saxon Film Design,1693.0,1669
Mace Neufeld Productions,2767.0,1669
Paramount Pictures,4.0,9437
Rysher Entertainment,11661.0,9437
Live Entertainment,285.0,10351
Image Organization,21084.0,10351
Pierre David,24075.0,10351
Columbia Pictures Corporation,441.0,3597
Mandalay Entertainment,1236.0,3597
Summer Knowledge LLC,1464.0,3597
Tiger Aspect Productions,686.0,1281
PolyGram Filmed Entertainment,1382.0,1281
Working Title Films,10163.0,1281
TriStar Pictures,559.0,563
Touchstone Pictures,9195.0,563
Big Bug Pictures,23434.0,563
New Line Cinema,12.0,9823
Threshold Entertainment,4174.0,9823
Twentieth Century Fox Film Corporation,306.0,8078
Brandywine Productions,19747.0,8078
Telefilm Canada,7320.0,42832
Melenny Productions,10260.0,42832
Super Écran,11578.0,42832
Gouvernement Canadien,13304.0,42832
Fonds de télévision et de câblodistribution pour la production d'émissions canadiennes,13305.0,42832
Gouvernement du Québec,13306.0,42832
Twentieth Century Fox Film Corporation,306.0,9714
Hughes Entertainment,477.0,9714
Miramax Films,14.0,4233
Konrad Pictures,85.0,4233
Maven Entertainment,1601.0,4233
Dimension Films,7405.0,4233
Eon Productions,7576.0,714
Universal Pictures,33.0,11568
Kopelson Entertainment,824.0,11808
Warner Bros.,6194.0,11808
Mandalay Entertainment,1236.0,617
Paramount Pictures,4.0,27472
Metro-Goldwyn-Mayer (MGM),8411.0,10216
Warner Bros.,6194.0,9771
Morgan Creek Productions,10210.0,9771
Walt Disney Pictures,2.0,10674
Walt Disney Feature Animation,10217.0,10674
Twentieth Century Fox Film Corporation,306.0,846
Ten Thirteen Productions,545.0,846
Twentieth Century Fox Film Corporation,306.0,3050
Joseph M. Singer Entertainment,1301.0,3050
Davis Entertainment,1302.0,3050
Silver Pictures,1885.0,944
Donner/Shuler-Donner Productions,5739.0,944
Warner Bros.,6194.0,944
Twentieth Century Fox Film Corporation,306.0,1051
D'Antoni Productions,646.0,1051
Schine-Moore Productions,73950.0,1051
United Artists,60.0,1366
New Line Cinema,12.0,10014
Smart Egg Pictures,1531.0,10014
New Line Cinema,12.0,10072
Smart Egg Pictures,1531.0,10072
New Line Cinema,12.0,10131
New Line Cinema,12.0,10160
New Line Cinema,12.0,11284
Paramount Pictures,4.0,4488
Georgetown Productions Inc.,16779.0,4488
Sean S. Cunningham Films,17611.0,4488
Paramount Pictures,4.0,9725
"Georgetown Productions, Inc.",7512.0,9725
Paramount Pictures,4.0,9728
Jason Productions,7513.0,9728
Paramount Pictures,4.0,9730
"Friday Four, Inc.",93280.0,9730
Paramount Pictures,4.0,9731
Georgetown Productions Inc.,16779.0,9731
Paramount Pictures,4.0,10225
Paramount Pictures,4.0,10281
Paramount Pictures,4.0,10283
Sean S. Cunningham Films,17611.0,10283
Horror Inc.,62948.0,10283
Compass International Pictures,14323.0,948
Falcon International Productions,22814.0,948
Universal Pictures,33.0,11281
Universal Pictures,33.0,10676
Dimension Films,7405.0,11357
Trans Pacific Films,4351.0,11361
SLM Production Group,396.0,609
Metro-Goldwyn-Mayer (MGM),8411.0,609
Metro-Goldwyn-Mayer (MGM),8411.0,11133
Metro-Goldwyn-Mayer (MGM),8411.0,10306
Warner Bros.,6194.0,9552
Hoya Productions,48184.0,9552
Warner Bros.,6194.0,11586
Morgan Creek Productions,10210.0,11587
Silver Pictures,1885.0,941
Warner Bros.,6194.0,941
Silver Pictures,1885.0,942
Warner Bros.,6194.0,942
Silver Pictures,1885.0,943
Warner Bros.,6194.0,943
Amblin Entertainment,56.0,927
Warner Bros.,6194.0,927
Amblin Entertainment,56.0,928
Warner Bros.,6194.0,928
Amblin Entertainment,56.0,9342
TriStar Pictures,559.0,9342
Universal Pictures,33.0,165
Amblin Entertainment,56.0,165
U-Drive Productions,20448.0,165
Universal Pictures,33.0,196
Amblin Entertainment,56.0,196
U-Drive Productions,20448.0,196
Walt Disney Productions,3166.0,17984
Walt Disney Productions,3166.0,3170
Paramount Pictures,4.0,242
Walt Disney,5888.0,11164
Walt Disney Productions,3166.0,12129
Walt Disney Productions,3166.0,14140
Walt Disney Pictures,2.0,11158
Touchwood Pacific Partners 1,8830.0,11158
Buena Vista,32.0,9354
Walt Disney Pictures,2.0,9325
Walt Disney Productions,3166.0,10340
Walt Disney Pictures,2.0,10144
Silver Screen Partners IV,10282.0,10144
Walt Disney,5888.0,10414
Walt Disney Pictures,2.0,10437
"Jim Henson Company, The",6254.0,10437
Walt Disney Productions,3166.0,12230
RKO Radio Pictures,6.0,10693
Walt Disney Productions,3166.0,10693
Walt Disney Pictures,2.0,11135
Walt Disney Feature Animation,10217.0,11135
Silver Screen Partners IV,10282.0,11135
Walt Disney Productions,3166.0,11319
Walt Disney Television Animation,3475.0,15969
Walt Disney,5888.0,19762
Touchstone Pictures,9195.0,2619
Walt Disney Pictures,2.0,97
Lisberger/Kushner,558.0,97
Dimension Films,7405.0,11675
Lucasfilm,1.0,87
Paramount Pictures,4.0,87
United Artists,60.0,123
Fantasy Films,286.0,123
Hal Roach Studios,2159.0,10823
Cinema Group,5093.0,10823
Planet Productions,6562.0,10823
Angeles Entertainment Group,12591.0,10823
Inverness Productions,12592.0,10823
Gatlin,52197.0,10823
United Artists,60.0,11497
Goldcrest Films International,500.0,11497
Sullivan Bluth Studios,6422.0,11497
Paramount Pictures,4.0,2907
Orion Pictures,41.0,2907
Scott Rudin Productions,258.0,2907
United Artists,60.0,11704
Aurora,32178.0,11704
Mrs. Brisby Ltd.,90400.0,11704
Don Bluth Productions,90512.0,11704
New World Pictures,1950.0,11415
New World Pictures,1950.0,37530
Sean S. Cunningham Films,17611.0,37530
CAT Films,22284.0,8393
Mimosa Films,22285.0,8393
Weintraub Entertainment Group,6313.0,11937
Elrina Investment,23267.0,11937
Dimension Films,7405.0,21661
Producers Sales Organization,1256.0,34584
Bavaria Film,1704.0,34584
Dieter Geissler Filmproduktion,1766.0,34584
Warner Bros.,6194.0,34584
Westdeutscher Rundfunk (WDR),7025.0,34584
Bavaria Studios,33772.0,34584
Bavaria Film,1704.0,34636
Dieter Geissler Filmproduktion,1766.0,34636
Cinevox Filmproduktion GmbH,1979.0,34636
Warner Bros.,6194.0,34636
New Line Cinema,12.0,36647
Amen Ra Films,421.0,36647
Imaginary Forces,11321.0,36647
Marvel Enterprises,19551.0,36647
Téléfilm Canada,806.0,431
Feature Film Project,21953.0,431
Cube Libre,22207.0,431
Harold Greenberg Fund,22208.0,431
Odeon Films,22209.0,431
Ontario Film Development Corporation,22210.0,431
Viacom Canada,22211.0,431
New Line Cinema,12.0,2109
Original Film,333.0,9877
TriStar Pictures,559.0,9877
Phoenix Pictures,11317.0,9877
Canal+ Droits Audiovisuels,53473.0,9877
Universal Pictures,33.0,1091
Turman-Foster Company,662.0,1091
Metro-Goldwyn-Mayer (MGM),8411.0,4437
Columbia Pictures,5.0,9945
Largo Entertainment,1644.0,9945
JVC Entertainment Networks,4248.0,9945
Film Office,23893.0,9945
Spooky Tooth Productions,23894.0,9945
Storm King Productions,23895.0,9945
Channel Four Films,181.0,4518
